ISO,Country.or.Area,Subgroup,Year,Source,Unit,BirthValue,Value Footnotes
MNE,Montenegro,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
MAR,Morocco,Total,2011,UN_United Nations Population Division,Per 1000 population,19,
MOZ,Mozambique,Total,2011,UN_United Nations Population Division,Per 1000 population,37,
MMR,Myanmar,Total,2011,UN_United Nations Population Division,Per 1000 population,17,
NAM,Namibia,Total,2011,UN_United Nations Population Division,Per 1000 population,26,
NPL,Nepal,Total,2011,UN_United Nations Population Division,Per 1000 population,24,
NLD,Netherlands,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
NZL,New Zealand,Total,2011,UN_United Nations Population Division,Per 1000 population,15,
NIC,Nicaragua,Total,2011,UN_United Nations Population Division,Per 1000 population,23,
NER,Niger,Total,2011,UN_United Nations Population Division,Per 1000 population,48,
NGA,Nigeria,Total,2011,UN_United Nations Population Division,Per 1000 population,40,
NOR,Norway,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
OMN,Oman,Total,2011,UN_United Nations Population Division,Per 1000 population,18,
PAK,Pakistan,Total,2011,UN_United Nations Population Division,Per 1000 population,27,
PAN,Panama,Total,2011,UN_United Nations Population Division,Per 1000 population,20,
PNG,Papua New Guinea,Total,2011,UN_United Nations Population Division,Per 1000 population,30,
PRY,Paraguay,Total,2011,UN_United Nations Population Division,Per 1000 population,24,
PER,Peru,Total,2011,UN_United Nations Population Division,Per 1000 population,20,
PHL,Philippines,Total,2011,UN_United Nations Population Division,Per 1000 population,25,
POL,Poland,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
PRT,Portugal,Total,2011,UN_United Nations Population Division,Per 1000 population,9,
QAT,Qatar,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
KOR,Republic of Korea,Total,2011,UN_United Nations Population Division,Per 1000 population,10,
MDA,Republic of Moldova,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
ROU,Romania,Total,2011,UN_United Nations Population Division,Per 1000 population,10,
RUS,Russian Federation,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
RWA,Rwanda,Total,2011,UN_United Nations Population Division,Per 1000 population,41,
LCA,Saint Lucia,Total,2011,UN_United Nations Population Division,Per 1000 population,17,
WSM,Saint Vincent and the Grenadines,Total,2011,UN_United Nations Population Division,Per 1000 population,17,
,Samoa,Total,2011,UN_United Nations Population Division,Per 1000 population,24,
STP,Sao Tome and Principe,Total,2011,UN_United Nations Population Division,Per 1000 population,31,
SAU,Saudi Arabia,Total,2011,UN_United Nations Population Division,Per 1000 population,22,
SEN,Senegal,Total,2011,UN_United Nations Population Division,Per 1000 population,37,
SRB,Serbia,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
SLE,Sierra Leone,Total,2011,UN_United Nations Population Division,Per 1000 population,38,
SGP,Singapore,Total,2011,UN_United Nations Population Division,Per 1000 population,9,
SVK,Slovakia,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
SVN,Slovenia,Total,2011,UN_United Nations Population Division,Per 1000 population,10,
SLB,Solomon Islands,Total,2011,UN_United Nations Population Division,Per 1000 population,31,
SOM,Somalia,Total,2011,UN_United Nations Population Division,Per 1000 population,43,
ZAF,South Africa,Total,2011,UN_United Nations Population Division,Per 1000 population,21,
:::South Asia,South Asia,Total,2011,UN_United Nations Population Division,Per 1000 population,23,1
ESP,Spain,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
LKA,Sri Lanka,Total,2011,UN_United Nations Population Division,Per 1000 population,18,
PSE,State of Palestine,Total,2011,UN_United Nations Population Division,Per 1000 population,33,
,Sub-Saharan Africa,Total,2011,UN_United Nations Population Division,Per 1000 population,37,1
SDN,Sudan (pre-cession),Total,2011,UN_United Nations Population Division,Per 1000 population,32,2
SUR,Suriname,Total,2011,UN_United Nations Population Division,Per 1000 population,18,
SWZ,Swaziland,Total,2011,UN_United Nations Population Division,Per 1000 population,29,
SWE,Sweden,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
CHE,Switzerland,Total,2011,UN_United Nations Population Division,Per 1000 population,10,
SYR,Syrian Arab Republic,Total,2011,UN_United Nations Population Division,Per 1000 population,22,
TJK,Tajikistan,Total,2011,UN_United Nations Population Division,Per 1000 population,28,
THA,Thailand,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
MKD,The former Yugoslav Republic of Macedonia,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
TLS,Timor-Leste,Total,2011,UN_United Nations Population Division,Per 1000 population,38,
TGO,Togo,Total,2011,UN_United Nations Population Division,Per 1000 population,32,
TON,Tonga,Total,2011,UN_United Nations Population Division,Per 1000 population,27,
TTO,Trinidad and Tobago,Total,2011,UN_United Nations Population Division,Per 1000 population,15,
TUN,Tunisia,Total,2011,UN_United Nations Population Division,Per 1000 population,17,
TUR,Turkey,Total,2011,UN_United Nations Population Division,Per 1000 population,18,
TKM,Turkmenistan,Total,2011,UN_United Nations Population Division,Per 1000 population,21,
UGA,Uganda,Total,2011,UN_United Nations Population Division,Per 1000 population,45,
UKR,Ukraine,Total,2011,UN_United Nations Population Division,Per 1000 population,11,
ARE,United Arab Emirates,Total,2011,UN_United Nations Population Division,Per 1000 population,13,
GBR,United Kingdom,Total,2011,UN_United Nations Population Division,Per 1000 population,12,
TZA,United Republic of Tanzania,Total,2011,UN_United Nations Population Division,Per 1000 population,41,
USA,United States,Total,2011,UN_United Nations Population Division,Per 1000 population,14,
URY,Uruguay,Total,2011,UN_United Nations Population Division,Per 1000 population,15,
UZB,Uzbekistan,Total,2011,UN_United Nations Population Division,Per 1000 population,21,
VUT,Vanuatu,Total,2011,UN_United Nations Population Division,Per 1000 population,29,
VEN,Venezuela (Bolivarian Republic of),Total,2011,UN_United Nations Population Division,Per 1000 population,20,
VNM,Viet Nam,Total,2011,UN_United Nations Population Division,Per 1000 population,16,
,Western and Central Africa,Total,2011,UN_United Nations Population Division,Per 1000 population,39,1
,World,Total,2011,UN_United Nations Population Division,Per 1000 population,19,1
YEM,Yemen,Total,2011,UN_United Nations Population Division,Per 1000 population,38,
ZMB,Zambia,Total,2011,UN_United Nations Population Division,Per 1000 population,46,
ZWE,Zimbabwe,Total,2011,UN_United Nations Population Division,Per 1000 population,29,
